Elapsed time,Direct_1,Abdomen_1,Abdomen_2,Abdomen_3,Abdomen_4,EDF Annotations
8.249,22.4,2.8,-5.5,0.5,-1,0.5
8.25,22,2.7,-5.9,0.2,-0.9,0.5
8.251,22.3,2.8,-6.5,-0.1,-1,0.5
8.252,22.7,2.9,-7.3,-0.4,-1,0.5
8.253,23,2.8,-8.1,-0.4,-0.8,0.5
8.254,23.1,2.5,-8.4,-0.2,-0.3,0.5
8.255,23,2.3,-8.3,0.2,0.3,0.5
8.256,22.8,2.3,-7.8,0.6,0.7,0.5
8.257,22.6,2.5,-7.3,0.9,0.8,0.5
8.258,22.2,2.8,-7,0.9,0.8,0.5
8.259,21.6,2.9,-7.1,0.7,0.7,0.5
8.26,21,2.5,-7.4,0.6,0.6,0.5
8.261,20.7,1.8,-7.7,0.7,0.7,0.5
8.262,21,1,-7.9,0.9,1,0.5
8.263,21.7,0.4,-7.7,1.2,1.2,0.5
8.264,22.3,0.1,-7.3,1.5,1.6,0.5
8.265,22.4,0.2,-6.9,1.8,2.2,0.5
8.266,21.9,0.5,-6.7,2.3,2.8,0.5
8.267,21.3,0.9,-6.5,3.2,3.3,0.5
8.268,21.3,1.4,-6,4.4,3.8,0.5
8.269,22.2,2.1,-5.2,5.6,4.1,0.5
8.27,23.7,3,-3.6,6.3,4.3,0.5
8.271,24.9,4.1,-1.3,6.4,4.7,0.5
8.272,24.8,5.1,1.5,5.9,5.3,0.5
8.273,23.3,5.8,4.4,5.1,5.9,0.5
8.274,20.9,6,6.9,4.3,6.2,0.5
8.275,19,5.6,8.5,3.9,6.2,0.5
8.276,18.4,4.7,9.1,3.5,5.8,0.5
8.277,19.4,3.4,8.9,3,5.1,0.5
8.278,21.3,2.1,8,2.2,4.3,0.5
8.279,23,0.7,7,0.9,3.5,0.5
8.28,23.6,-0.6,6.2,-0.5,2.7,0.5
8.281,22.9,-1.6,5.5,-1.8,1.8,0.5
8.282,21.4,-2.5,4.8,-2.7,0.9,0.5
8.283,20,-3,4.1,-3,0.2,0.5
8.284,19.1,-3,3.3,-2.8,0.2,0.5
8.285,19.2,-2.6,2.8,-2.1,0.8,0.5
8.286,20,-1.9,2.9,-0.9,1.8,0.5
8.287,21.2,-1.1,3.5,0.3,2.9,0.5
8.288,22.7,-0.5,4.4,1.1,3.5,0.5
8.289,23.9,-0.6,5.1,1.3,3.4,0.5
8.29,24.8,-1.2,5.4,0.8,2.8,0.5
8.291,25.1,-2.3,5.2,-0.3,2.1,0.5
8.292,24.7,-3.5,4.9,-1.4,1.5,0.5
8.293,23.9,-4.4,4.8,-2.1,1.3,0.5
8.294,22.9,-5,5,-2.1,1.3,0.5
8.295,22,-5.2,5.3,-1.7,1.3,0.5
8.296,21.3,-5.3,5.1,-0.9,1.2,0.5
8.297,20.9,-5.4,4.3,-0.2,1,0.5
8.298,20.3,-5.6,3.1,0.7,0.9,0.5
8.299,19.5,-5.8,2,1.6,1.2,0.5
8.3,18.7,-5.9,1.5,2.7,1.8,0.5
8.301,18.5,-5.6,1.8,3.8,2.7,0.5
8.302,19.5,-5.1,2.8,4.7,3.8,0.5
8.303,21.7,-4.5,4.1,5,4.8,0.5
8.304,24.7,-3.9,5.3,4.8,5.7,0.5
8.305,27.3,-3.5,6.4,4.1,6.4,0.5
8.306,28.4,-3.2,7.3,3.2,7,0.5
8.307,27.5,-3,8.2,2.4,7.2,0.5
8.308,24.9,-3,8.8,1.9,7.2,0.5
8.309,21.4,-3,9,1.7,6.9,0.5
8.31,18.3,-3.1,8.8,1.7,6.5,0.5
8.311,16.7,-3.2,8.3,2,6.2,0.5
8.312,16.6,-3.4,7.7,2.5,6.2,0.5
8.313,17.9,-3.5,7.4,3,6.4,0.5
8.314,19.7,-3.7,7.2,3.5,6.7,0.5
8.315,21.1,-3.8,6.8,3.6,6.9,0.5
8.316,21.3,-4,6,3.4,6.7,0.5
8.317,20,-4.3,4.7,2.9,6.3,0.5
8.318,17.4,-4.8,3.2,2.5,5.8,0.5
8.319,14.1,-5.5,1.9,2.2,5.3,0.5
8.32,11.2,-6.4,1.1,1.9,4.8,0.5
8.321,9.9,-7.4,0.8,1.6,4.3,0.5
8.322,10.6,-8.3,0.9,0.9,3.6,0.5
8.323,12.9,-9.2,0.8,0.1,2.9,0.5
8.324,15.8,-10,0.6,-0.6,2.1,0.5
8.325,18.1,-10.8,0.2,-1,1.6,0.5
8.326,18.9,-11.6,-0.1,-0.7,1.4,0.5
8.327,18.3,-12.3,-0.3,-0.2,1.5,0.5
8.328,17.1,-12.9,-0.4,0.3,1.7,0.5
8.329,16,-13.4,-0.7,0.4,1.9,0.5
8.33,15.3,-13.8,-1.2,-0.1,2.3,0.5
8.331,14.9,-14.1,-2,-0.9,2.7,0.5
8.332,14.6,-14.4,-2.7,-1.6,3.3,0.5
8.333,14.4,-14.7,-3,-1.8,4.1,0.5
8.334,14.4,-15,-2.6,-1.5,4.7,0.5
8.335,15,-15.2,-1.7,-0.8,5,0.5
8.336,16.2,-15.2,-0.7,-0.3,4.9,0.5
8.337,17.3,-15.2,0.3,0.1,4.9,0.5
8.338,17.7,-15.2,0.9,0.2,5.1,0.5
8.339,16.8,-15.2,1.3,0.5,5.9,0.5
8.34,14.7,-15.4,1.7,1.1,7.1,0.5
8.341,11.9,-15.7,2,1.8,8.1,0.5
8.342,9.4,-16.2,2.2,2.3,8.4,0.5
8.343,7.9,-16.7,2,2.4,7.8,0.5
8.344,7.6,-17.1,1.5,1.9,6.5,0.5
8.345,8.6,-17.4,0.9,1,5.1,0.5
8.346,10.7,-17.4,0.5,0.1,4.3,0.5
8.347,13.7,-17.2,0.6,-0.3,4.4,0.5
8.348,17,-16.8,1,-0.2,5.2,0.5
8.349,19.8,-16.4,1.3,0.2,6.2,0.5
8.35,21.2,-16.2,1.1,0.6,7,0.5
8.351,20.4,-16.2,0.5,0.6,7.1,0.5
8.352,17.4,-16.3,-0.4,0.3,6.9,0.5
8.353,13.1,-16.5,-1.1,-0.3,6.4,0.5
8.354,9.4,-16.6,-1.5,-0.7,6.1,0.5
8.355,7.7,-16.5,-1.5,-0.8,5.9,0.5
8.356,8.7,-16.5,-1.3,-0.8,5.9,0.5
8.357,11.6,-16.5,-1.3,-0.7,5.8,0.5
8.358,14.6,-16.9,-1.3,-0.7,5.7,0.5
8.359,16.1,-17.5,-1,-0.9,5.7,0.5
8.36,15.3,-18.2,-0.1,-1.1,5.8,0.5
8.361,13,-18.7,1.3,-1.2,6,0.5
8.362,10.9,-19,2.9,-1,6.2,0.5
8.363,10.5,-18.9,3.9,-0.6,6.1,0.5
8.364,12.1,-18.7,3.6,-0.2,5.8,0.5
8.365,15,-18.5,2.2,0,5.2,0.5
8.366,17.6,-18.6,0.1,-0.3,4.6,0.5
8.367,18.7,-18.8,-1.6,-0.9,4.1,0.5
8.368,18.1,-19,-2.2,-1.6,4,0.5
8.369,16.4,-18.8,-1.4,-2,4.4,0.5
8.37,14.9,-18.2,0.5,-1.8,5.3,0.5
8.371,14.6,-17.1,2.7,-0.8,6.4,0.5
8.372,15.9,-15.8,4.4,0.7,7.7,0.5
8.373,18.4,-14.4,5.4,2.5,8.9,0.5
8.374,20.9,-13.1,5.7,4.2,9.8,0.5
8.375,22.2,-12,5.7,5.4,10.4,0.5
8.376,21.4,-11,5.8,5.9,10.5,0.5
8.377,18.3,-10.1,6,5.9,10.2,0.5
8.378,14.1,-9.2,6.2,5.6,9.7,0.5
8.379,10.5,-8.4,6.1,5.2,9.1,0.5
8.38,9.6,-7.7,5.9,4.7,8.5,0.5
8.381,12.2,-7.3,5.6,4.2,7.8,0.5
8.382,17.4,-7.3,5.4,3.5,7.1,0.5
8.383,22.4,-7.8,5.2,2.5,6.4,0.5
8.384,24.4,-8.8,5.1,1.3,5.5,0.5
8.385,21.7,-9.9,4.9,0.2,4.5,0.5
8.386,15.6,-10.8,4.5,-0.4,3.5,0.5
8.387,9.2,-11.2,4.1,-0.1,2.5,0.5
8.388,5.8,-11,3.8,0.8,1.7,0.5
8.389,7.1,-10.4,3.7,1.9,1,0.5
8.39,11.8,-9.7,3.9,2.6,0.6,0.5
8.391,16.9,-9.2,4.3,2.5,0.3,0.5
8.392,19.5,-9,4.9,1.8,0.1,0.5
8.393,18.6,-8.6,6,0.8,0.1,0.5
8.394,15.6,-7.8,7.5,0.3,0.3,0.5
8.395,13.1,-6.4,9.3,0.3,0.4,0.5
8.396,12.9,-4.8,11.1,0.6,0.5,0.5
8.397,14.9,-3.7,12.2,0.9,0.2,0.5
8.398,17.5,-3.3,12.5,0.7,-0.3,0.5
8.399,18.6,-3.9,12.1,0.1,-1,0.5
8.4,17.3,-4.8,11.3,-0.4,-1.7,0.5
8.401,14.3,-5.4,10.9,-0.3,-2.2,0.5
8.402,11.3,-5.4,11.2,0.7,-2.3,0.5
8.403,9.9,-4.7,12.2,2.1,-2,0.5
8.404,10.3,-3.8,13.6,3.4,-1.2,0.5
8.405,12.1,-3.2,14.6,4.1,-0.2,0.5
8.406,14,-3,14.9,4.2,1,0.5
8.407,15,-3,14.4,4,2,0.5
8.408,15,-2.8,13.2,3.8,2.7,0.5
8.409,14.3,-2.1,11.8,3.7,2.7,0.5
8.41,13.4,-1,10.6,3.6,2.2,0.5
8.411,12.8,0.1,9.6,3.3,1.4,0.5
8.412,12.7,0.7,8.9,2.6,0.4,0.5
8.413,12.8,0.8,8.4,1.8,-0.3,0.5
8.414,12.9,0.7,8,1.4,-0.7,0.5
8.415,12.9,0.9,7.9,1.5,-0.8,0.5
8.416,12.5,1.7,8,2.1,-0.7,0.5
8.417,12,3,8.5,2.7,-0.6,0.5
8.418,11.4,4.3,9,2.8,-0.7,0.5
8.419,11.1,5.3,9.3,2.1,-1,0.5
8.42,11.1,5.5,9,0.7,-1.4,0.5
8.421,11.3,5.2,8.2,-0.6,-1.8,0.5
8.422,11.3,4.7,6.9,-1.2,-2.2,0.5
8.423,11,4.3,5.6,-0.9,-2.6,0.5
8.424,10.5,4.2,4.7,0.2,-2.8,0.5
8.425,10.1,4.4,4.5,1.6,-2.9,0.5
8.426,10,4.7,4.7,2.6,-2.7,0.5
8.427,10.3,5.2,5.3,2.8,-2.2,0.5
8.428,10.7,5.6,5.8,2.3,-1.6,0.5
8.429,11,6,6.1,1.6,-1.1,0.5
8.43,11.1,6.3,6.2,1.2,-0.7,0.5
8.431,11.4,6.5,6.2,1.1,-0.8,0.5
8.432,12.3,6.6,6.3,1.2,-1.2,0.5
8.433,13.8,6.5,6.4,1.2,-1.6,0.5
8.434,15.3,6.3,6.7,0.8,-1.7,0.5
8.435,16.1,6.3,7,0.4,-1.4,0.5
8.436,15.4,6.4,7.3,0.1,-0.8,0.5
8.437,13.4,6.6,7.9,0.3,-0.2,0.5
8.438,11,6.7,8.5,0.8,0.2,0.5
8.439,9.3,6.6,9.2,1.2,0.1,0.5
8.44,9.3,6.2,9.7,1.2,-0.5,0.5
8.441,10.8,6,9.8,0.5,-1.4,0.5
8.442,13,6.1,9.6,-0.4,-2,0.5
8.443,14.8,6.8,9.4,-0.8,-2.1,0.5
8.444,15.3,8,9.1,-0.4,-1.5,0.5
8.445,14.7,9.4,9,1,-0.5,0.5
8.446,13.8,10.3,8.9,2.6,0.6,0.5
8.447,13.9,10.4,8.8,3.8,1.3,0.5
8.448,15.5,9.7,8.5,4.2,1.4,0.5
8.449,18.3,8.7,8.1,3.8,1,0.5
8.45,21.2,7.8,7.7,3.1,0.5,0.5
8.451,22.9,7.8,7.6,2.4,0.2,0.5
8.452,22.5,8.5,7.6,2.2,0.2,0.5
8.453,20.4,9.7,8.1,2.2,0.4,0.5
8.454,18.1,10.9,8.7,2.3,0.4,0.5
8.455,17.3,11.4,9.5,2.1,0.2,0.5
8.456,18.9,11.3,10.2,1.8,-0.4,0.5
8.457,22.6,10.7,10.6,1.4,-1,0.5
8.458,26.6,10,10.7,1.1,-1.4,0.5
8.459,29,9.7,10.4,1.3,-1.3,0.5
8.46,28.5,10,9.8,1.8,-1,0.5
8.461,25.2,10.5,9.1,2.5,-0.7,0.5
8.462,20.6,11.2,8.6,3.3,-0.7,0.5
8.463,16.8,11.6,8.3,4,-0.9,0.5
8.464,15,11.8,8.4,4.4,-1.2,0.5
8.465,15.4,11.7,8.5,4.3,-1.2,0.5
8.466,16.8,11.5,8.6,4,-1,0.5
8.467,17.9,11.3,8.4,3.5,-0.7,0.5
8.468,17.8,10.9,7.8,3.1,-0.6,0.5
8.469,16.6,10.3,7,2.7,-1.1,0.5
8.47,15.3,9.4,5.8,2.4,-2.2,0.5
8.471,14.6,8.3,4.4,2,-3.7,0.5
8.472,14.8,7.2,2.7,1.2,-5.1,0.5
8.473,15.3,6.2,1,0.2,-6.1,0.5
8.474,15.5,5.4,-0.3,-0.9,-6.6,0.5
8.475,14.9,4.8,-1.1,-1.8,-6.6,0.5
8.476,13.8,4.3,-1,-2.2,-6.5,0.5
8.477,12.9,4,-0.4,-2.2,-6.4,0.5
8.478,12.7,3.8,0.4,-2.1,-6.4,0.5
8.479,12.8,3.7,0.7,-2,-6.5,0.5
8.48,12.6,3.6,0.3,-2.1,-6.5,0.5
8.481,11.1,3.4,-0.7,-2.5,-6.3,0.5
8.482,8.7,3.1,-2,-2.8,-5.9,0.5
8.483,6.6,2.8,-3.1,-3,-5.6,0.5
8.484,6.3,2.4,-3.8,-3,-5.5,0.5
8.485,8.8,2.2,-4.2,-3.1,-5.8,0.5
8.486,13.4,2,-4.7,-3.5,-6.4,0.5
8.487,17.6,1.6,-5.5,-4.3,-7.3,0.5
8.488,18.9,0.9,-6.7,-5.4,-8.1,0.5
8.489,16.2,-0.2,-8.1,-6.5,-8.6,0.5
8.49,10.4,-1.3,-9.3,-7.1,-8.7,0.5
8.491,4.6,-2,-9.8,-6.8,-8.2,0.5
8.492,1.8,-1.7,-9.4,-5.6,-7.4,0.5
8.493,3.2,-0.3,-8.2,-4.1,-6.6,0.5
8.494,7.4,1.7,-6.8,-2.7,-6.1,0.5
8.495,11.4,3.5,-5.6,-2.1,-6,0.5
8.496,12.4,4.4,-5.1,-2.3,-6.3,0.5
8.497,9.9,4,-5.5,-3.2,-6.8,0.5
8.498,5.8,2.8,-6.2,-4,-7.1,0.5
8.499,3,1.4,-7,-4.4,-7.2,0.5
8.5,3.5,0.7,-7.1,-3.9,-6.8,0.5
8.501,6.9,0.9,-6.6,-2.7,-6.1,0.5
8.502,11,1.9,-5.5,-1.5,-5.5,0.5
8.503,12.9,2.8,-4.4,-0.7,-4.9,0.5
8.504,11.7,3,-3.8,-0.9,-4.7,0.5
8.505,8.4,2.4,-3.9,-1.8,-4.8,0.5
8.506,5.5,1.3,-4.6,-3.1,-5.2,0.5
8.507,4.8,0.3,-5.6,-3.9,-5.6,0.5
8.508,6.2,-0.1,-6.5,-4,-6.1,0.5
8.509,8,0.1,-7,-3.3,-6.4,0.5
8.51,8.1,0.6,-7.1,-2.2,-6.5,0.5
8.511,6,1,-6.9,-1.3,-6.3,0.5
8.512,2.8,1,-6.4,-1.1,-6,0.5
8.513,0.9,0.9,-5.9,-1.6,-5.8,0.5
8.514,1.6,0.9,-5.5,-2.4,-5.7,0.5
8.515,4.5,1.1,-5.3,-3.2,-5.8,0.5
8.516,7.8,1.4,-5.6,-3.5,-6.1,0.5
8.517,9.1,1.5,-6.3,-3.3,-6.3,0.5
8.518,7.7,1.2,-7.1,-2.8,-6.2,0.5
8.519,4.4,0.6,-7.7,-2.3,-5.9,0.5
8.52,1.3,-0.2,-7.9,-2.1,-5.5,0.5
8.521,0.1,-0.6,-7.8,-2.5,-5.1,0.5
8.522,1,-0.5,-7.6,-3.5,-5.2,0.5
8.523,3.2,-0.1,-7.5,-4.7,-5.6,0.5
8.524,5.3,0.4,-7.4,-5.9,-6.4,0.5
8.525,6.2,0.7,-7.1,-6.8,-7.2,0.5
8.526,5.9,0.6,-6.2,-7.1,-7.7,0.5
8.527,5.1,0.6,-4.5,-6.6,-7.6,0.5
8.528,4.3,0.8,-2.2,-5.7,-7,0.5
8.529,4.1,1.5,0.2,-4.6,-6,0.5
8.53,4.3,2.4,2,-3.8,-5.1,0.5
8.531,4.9,3.3,2.9,-3.4,-4.4,0.5
8.532,5.6,3.8,2.8,-3.6,-4.2,0.5
8.533,5.8,3.7,2.2,-4,-4.3,0.5
8.534,5.1,3.2,1.5,-4.3,-4.5,0.5
8.535,3.2,2.6,0.9,-4.4,-4.6,0.5
8.536,0.5,2.4,0.6,-4.2,-4.4,0.5
8.537,-2.1,2.5,0.6,-3.9,-4,0.5
8.538,-3.4,2.9,0.6,-3.7,-3.6,0.5
8.539,-2.7,3.3,0.7,-3.5,-3.4,0.5
8.54,-0.1,3.5,0.9,-3.5,-3.6,0.5
8.541,2.8,3.4,1.2,-3.5,-3.9,0.5
8.542,4.7,3.3,1.7,-3.4,-4.2,0.5
8.543,4.5,3.1,2.1,-3.4,-4.3,0.5
8.544,2.7,2.9,2.3,-3.5,-4.5,0.5
8.545,0.5,2.7,2.1,-3.8,-4.9,0.5
8.546,-0.7,2.3,1.4,-4.2,-5.7,0.5
8.547,0,1.7,0.5,-4.2,-6.7,0.5
8.548,2.3,1.1,-0.3,-3.6,-7.5,0.5
8.549,5,1.1,-0.8,-2.4,-7.7,0.5
8.55,6.8,1.8,-0.5,-0.9,-6.8,0.5
8.551,7.1,3.3,0.2,0.5,-5.1,0.5
8.552,6.1,5.1,1.1,1.3,-3.2,0.5
8.553,4.5,6.7,2,1.4,-1.7,0.5
8.554,3.4,7.7,2.5,1.2,-1,0.5
8.555,3.4,7.9,2.9,0.9,-1.1,0.5
8.556,4.4,7.8,3.3,1,-1.6,0.5
8.557,5.7,7.7,3.7,1.6,-1.8,0.5
8.558,6.5,7.8,4.1,2.2,-1.6,0.5
8.559,6.1,8.2,4,2.6,-1,0.5
8.56,4.7,8.3,3.2,2.5,-0.5,0.5
8.561,2.8,7.8,1.6,1.8,-0.6,0.5
8.562,1.3,6.7,-0.3,0.7,-1.5,0.5
8.563,0.9,5,-1.9,-0.5,-2.8,0.5
8.564,1.8,3.2,-2.9,-1.4,-4.1,0.5
8.565,3.5,1.8,-3.3,-1.8,-4.8,0.5
8.566,5.4,1.2,-3.3,-1.8,-4.8,0.5
8.567,6.9,1.3,-3.4,-1.5,-4.2,0.5
8.568,7.7,2,-4,-1.1,-3.5,0.5
8.569,7.8,2.7,-5,-0.8,-3.2,0.5
8.57,7.4,3,-6.4,-1,-3.6,0.5
8.571,6.9,2.7,-7.9,-1.7,-4.6,0.5
8.572,6.5,1.6,-9.3,-2.8,-5.9,0.5
8.573,6.6,0.4,-10.5,-4,-7.1,0.5
8.574,7.1,-0.7,-11.3,-4.9,-7.8,0.5
8.575,8,-1,-11.6,-5,-8,0.5
8.576,8.5,-0.7,-11.6,-4.6,-7.8,0.5
8.577,8.1,0,-11.2,-3.7,-7.4,0.5
8.578,6.2,0.6,-10.9,-3,-7,0.5
8.579,3.1,0.6,-10.9,-2.8,-6.6,0.5
8.58,-0.1,0.1,-11.1,-3.2,-6.4,0.5
8.581,-2.2,-0.8,-11.3,-3.9,-6.2,0.5
8.582,-2.3,-1.5,-11.4,-4.6,-6.2,0.5
8.583,-0.5,-1.9,-11.2,-5,-6.2,0.5
8.584,2.2,-2,-11.1,-4.8,-6.5,0.5
8.585,4.1,-1.8,-11.2,-4.2,-6.7,0.5
8.586,4.5,-1.6,-11.5,-3.5,-6.6,0.5
8.587,3.7,-1.1,-11.4,-2.8,-5.7,0.5
8.588,3.3,-0.4,-10.6,-2.2,-3.9,0.5
8.589,5.3,0.8,-8.6,-1.5,-1.7,0.5
8.59,10.4,2.1,-6,-0.8,0.5,0.5
8.591,17.9,3.3,-3.4,-0.2,2.2,0.5
8.592,25.9,4.2,-1.5,0.5,3.5,0.5
8.593,32.4,4.9,-0.4,1.5,5.1,0.5
8.594,37.001,5.9,0.9,3.2,8.2,0.5
8.595,41.001,7.8,3.5,6,13.2,0.5
8.596,46.501,11,8,9.9,19.8,0.5
8.597,55.201,15.2,13.7,14.4,26.5,0.5
8.598,66.801,19.3,18.8,18.4,31.5,0.5
8.599,78.801,22.4,21.4,20.8,33.401,0.5
8.6,87.701,23.6,20.6,20.9,32,0.5
8.601,90.701,22.9,16.9,19,28.2,0.5
8.602,87.201,20.7,11.9,15.7,23.6,0.5
8.603,78.801,18.2,7.5,12.2,19.3,0.5
8.604,68.101,15.8,4.6,9.2,15.6,0.5
8.605,57.501,14,2.8,7,12.2,0.5
8.606,47.901,12.5,1,5,8.3,0.5
8.607,39.001,10.7,-1.9,2.8,3.5,0.5
8.608,29.4,8.3,-6.4,-0.1,-2.1,0.5
8.609,18.2,5.5,-11.7,-3.3,-7.7,0.5
8.61,4.8,2.5,-16.8,-6.5,-12.6,0.5
8.611,-10.1,0.1,-20.3,-8.7,-15.9,0.5
8.612,-24.7,-1.4,-21.6,-9.5,-17.4,0.5
8.613,-37.001,-1.7,-20.8,-8.9,-17.1,0.5
8.614,-45.101,-1.1,-18.6,-7.5,-15.7,0.5
8.615,-48.301,-0.2,-16,-6.1,-13.9,0.5
8.616,-47.201,0.6,-13.9,-5.4,-12.3,0.5
8.617,-43.501,1.1,-12.5,-5.4,-11.1,0.5
8.618,-39.201,1.2,-11.8,-5.9,-10.1,0.5
8.619,-35.301,1.5,-11.2,-5.9,-9,0.5
8.62,-31.9,2.2,-10.2,-4.9,-7.3,0.5
8.621,-27.7,3.5,-8.6,-3,-5.1,0.5
8.622,-22.1,5.1,-6.6,-0.6,-3.1,0.5
8.623,-15.3,6.4,-5,1.4,-1.8,0.5
8.624,-8.7,6.9,-4.4,2.2,-1.5,0.5
8.625,-4.2,6.7,-4.9,1.9,-2,0.5
8.626,-2.7,5.9,-6.2,0.9,-2.5,0.5
8.627,-3.6,5.1,-7.5,0.1,-2.3,0.5
8.628,-5,4.9,-8.2,0.3,-1.1,0.5
8.629,-4.9,5.4,-8,1.5,0.7,0.5
8.63,-2.6,6.1,-7.3,3.1,2,0.5
8.631,1.1,6.6,-7,4.2,2.1,0.5
8.632,4.5,6.2,-7.3,4.1,0.9,0.5
8.633,6.2,4.9,-8.3,2.7,-1.1,0.5
8.634,6,3,-9.4,0.7,-2.8,0.5
8.635,4.8,1.3,-9.8,-1.1,-3.6,0.5
8.636,3.7,0.5,-9.2,-1.8,-3.3,0.5
8.637,3.4,0.5,-7.7,-1.7,-2.3,0.5
8.638,3.7,1.1,-6,-1,-1.4,0.5
8.639,3.8,1.6,-4.6,-0.7,-1.2,0.5
8.64,3,1.5,-4,-1.1,-1.6,0.5
8.641,1.6,0.7,-3.8,-2.2,-2.2,0.5
8.642,0.3,-0.4,-3.8,-3.4,-2.6,0.5
8.643,-0.3,-1.3,-3.6,-4,-2.6,0.5
8.644,0,-1.4,-3.2,-3.6,-2.2,0.5
8.645,0.8,-0.9,-2.7,-2.4,-1.6,0.5
8.646,1.3,0,-2.6,-1,-1,0.5
8.647,1,0.9,-2.7,0.2,-0.5,0.5
8.648,0.4,1.7,-2.9,0.8,0.1,0.5
8.649,0.1,2.2,-2.9,0.8,0.8,0.5
8.65,0.7,2.5,-2.6,0.4,1.2,0.5
8.651,2.3,2.8,-2,-0.3,1.3,0.5
8.652,4.2,2.6,-1.6,-1.1,0.8,0.5
8.653,5.5,1.9,-1.9,-2,-0.2,0.5
8.654,5.7,0.5,-3.2,-2.9,-1.6,0.5
8.655,5,-1.4,-5.4,-3.6,-3,0.5
8.656,3.9,-3.4,-8,-4.1,-4.3,0.5
8.657,2.9,-4.8,-10.5,-4.3,-5.1,0.5
8.658,2.2,-5.4,-12.1,-4.3,-5.7,0.5
8.659,1.8,-5.2,-12.6,-4.1,-5.9,0.5
8.66,1.7,-4.5,-12.2,-4,-6,0.5
8.661,2,-3.6,-11.2,-4,-6,0.5
8.662,2.7,-3.1,-10.2,-4.1,-5.9,0.5
8.663,3.6,-2.9,-9.6,-4.4,-5.8,0.5
8.664,4.3,-3.1,-9.2,-5,-5.6,0.5
8.665,4.1,-3.2,-8.8,-5.6,-5.4,0.5
8.666,2.5,-2.9,-7.7,-6.3,-5,0.5
8.667,0,-2.1,-5.8,-6.7,-4.5,0.5
8.668,-2.6,-1,-3.4,-6.8,-4,0.5
8.669,-4,0,-1,-6.5,-3.7,0.5
8.67,-3.4,0.4,0.7,-5.8,-3.6,0.5
8.671,-1.1,0.1,1.5,-5.2,-3.9,0.5
8.672,1.7,-0.7,1.4,-4.8,-4.2,0.5
8.673,3.5,-1.3,0.9,-4.6,-4.5,0.5
8.674,3.6,-1.5,0.1,-4.7,-4.6,0.5
8.675,1.8,-1,-0.7,-4.8,-4.4,0.5
8.676,-0.5,-0.1,-1.5,-4.8,-4.1,0.5
8.677,-2,0.7,-2.2,-4.6,-3.8,0.5
8.678,-1.8,1.2,-2.6,-4.3,-3.7,0.5
8.679,0,1.1,-2.7,-4,-3.7,0.5
8.68,2.2,0.6,-2.5,-3.9,-3.9,0.5
8.681,3.3,-0.1,-2.1,-3.8,-4.1,0.5
8.682,2.3,-0.7,-1.8,-3.8,-4.3,0.5
8.683,-0.7,-1.1,-1.8,-4,-4.5,0.5
8.684,-4.3,-1.3,-2.2,-4.3,-4.5,0.5
8.685,-6.8,-1.4,-2.5,-4.7,-4.6,0.5
8.686,-7.1,-1.4,-2.7,-5.3,-4.7,0.5
8.687,-5.6,-1.5,-2.5,-5.8,-4.6,0.5
8.688,-3.2,-1.6,-2.3,-6.2,-4.4,0.5
8.689,-1.6,-1.8,-2.2,-6.2,-3.7,0.5
8.69,-1.2,-2,-2.5,-5.7,-2.8,0.5
8.691,-1.7,-2,-3,-4.8,-1.7,0.5
8.692,-2,-1.9,-3.6,-3.7,-0.8,0.5
8.693,-1.1,-1.5,-3.9,-2.5,-0.3,0.5
8.694,0.7,-1,-3.6,-1.5,-0.3,0.5
8.695,2.3,-0.5,-3,-0.7,-0.6,0.5
8.696,2.4,-0.1,-2.4,-0.3,-1,0.5
8.697,0.8,0.3,-2.1,-0.2,-1,0.5
8.698,-1.7,0.7,-2.2,-0.4,-0.7,0.5
8.699,-3.2,1,-2.8,-0.6,-0.1,0.5
8.7,-2.3,1.4,-3.6,-0.9,0.3,0.5
8.701,1.1,1.8,-4.4,-1.1,0.4,0.5
8.702,5.5,2.1,-5.1,-1.3,-0.1,0.5
8.703,8.8,2.3,-5.7,-1.6,-0.8,0.5
8.704,9.4,2.2,-6.1,-1.9,-1.5,0.5
8.705,7.3,2.1,-6.1,-2.4,-1.6,0.5
8.706,3.9,2,-5.6,-2.7,-1.1,0.5
8.707,1,2,-4.5,-3,-0.3,0.5
8.708,-0.5,2.2,-2.9,-3.1,0.5,0.5
8.709,-0.8,2.5,-1.1,-3.1,0.8,0.5
8.71,-0.8,2.8,0.4,-3.1,0.5,0.5
8.711,-1.1,2.9,1.3,-3.2,0.2,0.5
8.712,-1.7,2.9,1.5,-3.3,0,0.5
8.713,-2,2.8,1.2,-3.4,0.3,0.5
8.714,-1.4,2.8,0.9,-3.5,0.8,0.5
8.715,-0.1,3,0.7,-3.5,1,0.5
8.716,1.1,3.3,0.8,-3.4,0.9,0.5
8.717,1.3,3.8,1.2,-3.2,0.5,0.5
8.718,0.1,4.2,1.6,-3,0,0.5
8.719,-2,4.3,1.8,-2.7,-0.1,0.5
8.72,-4.1,4.2,1.6,-2.5,0.1,0.5
8.721,-5.1,4,1,-2.6,0.5,0.5
8.722,-4.6,3.7,0,-2.9,0.5,0.5
8.723,-3.2,3.3,-1.2,-3.1,0.3,0.5
8.724,-1.5,3,-2.2,-2.8,0,0.5
8.725,-0.1,2.8,-3,-2,0,0.5
8.726,0.4,2.8,-3.7,-0.8,0.4,0.5
